Date,close_price_.AEX,close_price_.AORD,close_price_.BFX,close_price_.BVSP,close_price_.FCHI,close_price_.FTSE,close_price_.GDAXI,close_price_.HSI,close_price_.IBEX,close_price_.KS11,close_price_.MXX,close_price_.N225,close_price_.NSEI,close_price_.SPX,close_price_.SSEC,close_price_.SSMI,rv5_.AEX,rv5_.AORD,rv5_.BFX,rv5_.BVSP,rv5_.FCHI,rv5_.FTSE,rv5_.GDAXI,rv5_.HSI,rv5_.IBEX,rv5_.KS11,rv5_.MXX,rv5_.N225,rv5_.NSEI,rv5_.SPX,rv5_.SSEC,rv5_.SSMI
2004-07-13,333.8,3553.8,2469.11,21676.63,3656.18,4353.4,3903.44,12078.33,8085,750.95,10033.9,11608.62,1539.3,1115.18,1399.492,5531.3,3.12E-05,2.69E-06,2.44E-05,0.000105862,3.10E-05,2.06E-05,4.37E-05,0.000119025,1.75E-05,0.00019715,1.25E-05,3.45E-05,0.000195244,8.97E-06,8.19E-05,2.54E-05
2004-07-14,332.72,3525,2465.14,21672.67,3648.75,4372.6,3896.4,11932.83,8028.7,736.58,9843.02,11356.65,1522.75,1111.27,1404.011,5548.3,3.69E-05,2.84E-05,1.84E-05,0.000178187,2.82E-05,3.67E-05,9.59E-05,9.25E-05,6.28E-05,0.000137189,2.57E-05,7.86E-05,0.00011698,6.27E-05,0.00014665,3.70E-05
2004-07-15,328.63,3527.7,2451.44,22064.66,3610.55,4348.1,3852.11,11939.41,7993.7,732.74,9875.68,11409.14,1539.4,1106.81,1422.067,5476.3,4.93E-05,3.88E-06,2.46E-05,0.000110829,4.33E-05,3.03E-05,7.82E-05,3.61E-05,5.23E-05,0.000171209,1.68E-05,8.02E-05,0.000100757,2.97E-05,0.000133179,3.87E-05
2004-07-16,328.77,3536.1,2453.74,22447.13,3610.4,4341.9,3842.27,12059.2,8003.3,739.39,9923.92,11436,1558.8,1101.42,1456.118,5461.2,3.82E-05,3.72E-06,1.80E-05,7.11E-05,3.82E-05,3.02E-05,5.98E-05,7.60E-05,2.63E-05,0.000311876,2.37E-05,0.000133971,8.52E-05,3.77E-05,0.000139665,4.85E-05
2004-07-19,326.68,3537,2432.54,22102.43,3592.63,4325.3,3818.53,12166.95,7985.6,750.4,9921.16,NA,1571.6,1100.85,1457.695,5434.7,4.57E-05,4.09E-06,2.52E-05,8.60E-05,3.49E-05,1.84E-05,5.37E-05,5.55E-05,3.11E-05,0.000114646,1.41E-05,NA,6.64E-05,3.91E-05,0.000105528,3.99E-05
2004-07-20,328.06,3505.6,2444.85,22361.24,3607.39,4340,3833.32,12123.63,7988.9,737.01,10025.13,11258.37,1566.1,1108.54,1448.281,5499.9,4.75E-05,1.20E-05,4.27E-05,0.00015122,4.07E-05,2.97E-05,7.33E-05,4.99E-05,3.65E-05,0.000188207,1.37E-05,9.00E-05,0.000125366,3.93E-05,7.10E-05,5.12E-05
2004-07-21,331.37,3526.5,2461.09,21810.32,3637.74,4377.5,3872.82,12395.11,8023.6,753.34,9987.06,11433.86,1581.4,1094.4,1447.71,5561.7,3.30E-05,1.04E-05,2.56E-05,0.000135023,2.43E-05,6.30E-05,8.67E-05,7.29E-05,1.72E-05,9.35E-05,3.56E-05,4.03E-05,0.000412213,5.87E-05,5.73E-05,3.00E-05
2004-07-22,324.97,3504.5,2422.85,21730.32,3572.84,4313.5,3800.99,12320.21,7926.2,742.62,9987.28,11285.04,1598.1,1096.57,1407.695,5475.5,5.81E-05,2.35E-05,5.39E-05,0.000275109,6.21E-05,0.000127007,0.00026124,5.19E-05,3.76E-05,0.000110694,1.18E-05,6.08E-05,8.96E-05,8.04E-05,0.000102889,3.99E-05
2004-07-23,324.68,3498.9,2415.52,21591.09,3567.29,4331.7,3795.71,12352.99,7845,737.61,9907.67,11187.33,1601.6,1086.06,1408.019,5482.9,3.87E-05,7.53E-06,2.63E-05,0.000262746,2.81E-05,5.31E-05,7.30E-05,5.12E-05,3.95E-05,9.35E-05,1.64E-05,3.47E-05,0.000139313,5.33E-05,0.000168781,3.03E-05
2004-07-26,320.72,3495.8,2406.23,21317.7,3532.49,4288.5,3749.38,12319.83,7730.6,736.2,9921.4,11159.55,1618,1084.17,1387.67,5446,6.89E-05,3.30E-06,3.57E-05,0.000198566,4.70E-05,3.17E-05,8.03E-05,3.26E-05,5.23E-05,9.25E-05,1.27E-05,5.56E-05,9.26E-05,7.13E-05,7.58E-05,4.30E-05
2004-07-27,324.72,3500.5,2438.02,21737,3565.8,4320.4,3806.02,12301.32,7823.9,738.47,10120.26,11031.54,1600.75,1094.91,1384.304,5501.9,4.06E-05,5.58E-06,3.60E-05,0.000301095,3.21E-05,2.56E-05,5.33E-05,3.84E-05,4.16E-05,9.61E-05,1.76E-05,6.26E-05,0.000124735,4.18E-05,0.000113695,4.96E-05
2004-07-28,324.32,3511.5,2440.1,22168.28,3575.92,4355.8,3808.69,12320.27,7806.7,744.33,10090.56,11204.37,1594.15,1095.8,1389.028,5514.6,4.72E-05,1.47E-05,5.00E-05,0.000161894,3.32E-05,5.15E-05,6.04E-05,1.96E-05,4.26E-05,7.52E-05,3.62E-05,3.58E-05,0.000108149,7.19E-05,0.000141339,4.12E-05
2004-07-29,330.71,3515,2478.11,22227.78,3643.79,4417.3,3890.82,12183.1,7870.1,730.62,10060.29,11116.84,1618.7,1100.86,1407.203,5553.4,5.65E-05,6.44E-06,3.65E-05,0.000125319,3.48E-05,2.96E-05,8.05E-05,9.39E-05,2.63E-05,8.01E-05,1.45E-05,9.73E-05,9.68E-05,4.28E-05,7.54E-05,3.17E-05
2004-07-30,329.91,3547.2,2465.13,22336.87,3647.1,4417.7,3896.8,12238.03,7912.3,735.34,10116.39,11325.99,1632.3,1101.86,1386.38,5556.6,6.35E-05,1.38E-05,7.26E-05,0.000125523,5.99E-05,2.88E-05,9.44E-05,7.18E-05,3.94E-05,7.05E-05,3.59E-05,4.82E-05,0.000147732,2.88E-05,8.26E-05,6.10E-05
2004-08-02,325.87,3553.4,2470.75,22448.01,3623.79,4412.1,3859.01,12201.39,7874.4,719.7,10173.9,11222.24,1639.05,1106.61,1373.394,5536.7,7.08E-05,4.39E-06,2.86E-05,8.56E-05,5.03E-05,3.43E-05,6.83E-05,6.06E-05,3.05E-05,9.90E-05,1.58E-05,4.73E-05,9.73E-05,3.62E-05,8.89E-05,3.85E-05
2004-08-03,326.93,3564.7,2495.56,22372.9,3650.8,4426.6,3877.82,12357.12,7891.8,726.44,10205.61,11140.57,1630.6,1099.31,1367.102,5588.6,3.14E-05,6.39E-06,2.12E-05,6.06E-05,3.71E-05,2.16E-05,6.61E-05,0.000101268,1.68E-05,6.70E-05,1.80E-05,4.18E-05,7.88E-05,2.56E-05,4.28E-05,3.05E-05
2004-08-04,323.39,3555.6,2486.4,22177.92,3607.58,4408.3,3825.13,12280.26,7809.8,729.4,10075.8,11010.02,1626.55,1098.33,1404.505,5518.85,4.39E-05,4.72E-06,3.75E-05,9.91E-05,4.77E-05,5.89E-05,0.000138476,0.00010644,5.38E-05,0.00013359,3.42E-05,0.00011633,8.65E-05,4.65E-05,0.000349959,4.48E-05
2004-08-05,325.85,3545.1,2511.38,21330.25,3622.98,4415.1,3828.69,12491.92,7836.1,743.34,10066.9,11060.89,1654.95,1080.68,1388.86,5515.2,3.21E-05,1.77E-05,2.73E-05,0.000335955,3.27E-05,2.17E-05,7.31E-05,7.34E-05,2.15E-05,7.75E-05,1.35E-05,8.54E-05,5.44E-05,5.09E-05,0.000132627,2.81E-05
2004-08-06,315.74,3535.4,2480.52,21652.71,3528.64,4343.9,3739.05,12478.68,7705.2,734.06,9866.13,10972.57,1633.4,1063.89,1390.461,5403.1,0.000102294,1.47E-05,3.84E-05,0.00011856,0.000124466,0.000152774,0.00025907,6.78E-05,5.11E-05,9.68E-05,3.76E-05,6.06E-05,0.000136068,9.31E-05,0.000126228,7.37E-05
2004-08-09,313.08,3521.2,2452.16,21260.91,3497.3,4314.3,3693.02,12467.41,7641.4,742.13,9814.06,10908.7,1642.6,1065.42,1396.142,5363.1,9.47E-05,3.45E-05,5.76E-05,0.000133969,8.74E-05,4.20E-05,0.000128138,7.32E-05,5.02E-05,0.000139921,8.58E-06,6.88E-05,9.82E-05,2.57E-05,4.67E-05,5.42E-05
2004-08-10,316.24,3511.6,2475.27,21736.72,3533.06,4350.8,3720.63,12408.04,7653.6,748.63,9910.84,10953.55,1652.15,1078.81,1401.169,5385.4,5.67E-05,8.90E-06,2.55E-05,0.00010223,4.30E-05,2.24E-05,5.26E-05,6.76E-05,2.23E-05,0.000106296,2.22E-05,4.57E-05,6.84E-05,4.24E-05,3.98E-05,4.05E-05
