"date","rate_prop","rate_prop2","tariff_prop","unemp_prop","inf_p_prop","inf_n_prop","inf_prop","war_prop","trade_p_prop","trade_n_prop","house_prop_d","house_prop","car_prop_d","chip_prop_d","ship_prop_d","inf_prop_d","trade_prop_d"
2015-03-26,0,0,0,0,0.00470588235294118,0,0.00470588235294118,0.00235294117647059,0,0,0,0,0.00235294117647059,0,0,0.00470588235294118,0
2015-03-27,0,0,0,0,0,0,0,0.00652883569096844,0.00108813928182807,0,0,0,0,0,0,0,0.00108813928182807
2015-03-28,0,0,0,0,0,0,0,0.0119047619047619,0,0,0,0,0,0,0,0,0
2015-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,0.0009000900090009,0.0009000900090009,0,0,0.0009000900090009,0,0.0009000900090009,0.0099009900990099,0.0009000900090009,0.0009000900090009,0,0.0036003600360036,0,0,0,0.0009000900090009,0
2015-03-31,0,0.00074794315632012,0,0.00074794315632012,0.00074794315632012,0,0.00224382946896036,0.00523560209424084,0,0,0,0,0,0,0,0.00074794315632012,0
2015-04-01,0,0,0,0,0,0,0.00862068965517241,0,0,0,0.00862068965517241,0.00862068965517241,0,0,0,0,0
2015-04-02,0,0,0,0,0.00270758122743682,0,0.00451263537906137,0.00451263537906137,0,0.000902527075812274,-0.000902527075812274,0.00180505415162455,0,0,0,0.00270758122743682,-0.000902527075812274
2015-04-03,0,0,0,0,0,0,0,0.00294985250737463,0,0,0,0.00589970501474926,0,0,0,0,0
2015-04-04,0,0,0,0,0,0,0,0.0126582278481013,0,0,0,0.0126582278481013,0,0,0,0,0
2015-04-05,0,0.00510204081632653,0,0,0,0,0,0.00510204081632653,0,0,0,0.00510204081632653,0,0,0,0,0
2015-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,0,0,0,0,0,0,0,0.00869565217391304,0,0.0173913043478261,0,0,0,0,0,0,-0.0173913043478261
2015-04-08,0,0,0,0,0,0,0,0.00917431192660551,0,0,0,0,0,0,0,0,0
2015-04-09,0.0025706940874036,0,0,0,0.0051413881748072,0,0.012853470437018,0.0102827763496144,0.0051413881748072,0.0025706940874036,0,0,0,0,0,0.0051413881748072,0.0025706940874036
2015-04-10,0,0,0,0,0.0078125,0,0.0078125,0,0,0,0,0,0,0,0,0.0078125,0
2015-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12,0,0.00378787878787879,0,0,0,0,0,0.00189393939393939,0,0.00189393939393939,0.00189393939393939,0.00189393939393939,0,0,0,0,-0.00189393939393939
2015-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-15,0.000823045267489712,0.000823045267489712,0,0,0.000823045267489712,0,0.000823045267489712,0.00411522633744856,0.00164609053497942,0,0.000823045267489712,0.000823045267489712,0,0,0,0.000823045267489712,0.00164609053497942
2015-04-16,0,0.00102354145342886,0,0,0.00102354145342886,0.00102354145342886,0.00102354145342886,0.00102354145342886,0.00204708290685773,0.00204708290685773,0,0.00102354145342886,0,0,0,0,0
2015-04-17,0,0.00109289617486339,0,0,0.00218579234972678,0.00109289617486339,0.00765027322404372,0.019672131147541,0.00109289617486339,0.00109289617486339,0,0,0,0,0,0.00109289617486339,0
2015-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19,0,0.0024390243902439,0,0,0,0,0,0.0024390243902439,0.0048780487804878,0.0024390243902439,0,0.0024390243902439,0,0,0,0,0.0024390243902439
2015-04-20,0,0,0,0,0,0.000947867298578199,0.0018957345971564,0.0028436018957346,0.000947867298578199,0,0,0.0018957345971564,0,0,0,-0.000947867298578199,0.000947867298578199
2015-04-21,0,0,0,0,0,0,0,0,0,0.00515463917525773,0,0,0,0,0,0,-0.00515463917525773
2015-04-22,0,0,0,0,0.000868809730668983,0,0.000868809730668983,0.00695047784535187,0.00173761946133797,0.00173761946133797,0,0.00173761946133797,0,0,0,0.000868809730668983,0
2015-04-23,0,0,0,0,0,0,0,0.0032546786004882,0.00244100895036615,0,-0.00081366965012205,0.00406834825061025,0,0,0,0,0.00244100895036615
