"real_date","rate_prop","tariff_prop","war_prop","pro_prop_d","ship_prop_d","car_prop_d","chip_prop_d","invest_prop_d","house_prop","unemp_prop","emp_prop_d","job_prop_d","retail_prop_d","gov_prop","inf_prop_d","stock_prop_d","house_prop_d","trade_prop_d"
2020-11-22,0,0,0,0,0.00285714285714286,0,0,0,0.00285714285714286,0,0.00285714285714286,0,0,0.0114285714285714,0,0.00285714285714286,0,0
2020-11-23,0,0.00449438202247191,0.00449438202247191,-0.00224719101123595,0.00112359550561798,0.00224719101123596,0.00337078651685393,0,0.00224719101123596,0,-0.00112359550561798,0,0,0.00337078651685393,0,0.00224719101123595,0,0
2020-11-24,0,0,0.0014903129657228,-0.00447093889716841,0,0,0,0.0014903129657228,0.00894187779433681,0,0,0.0014903129657228,0,0.0119225037257824,0,0.0014903129657228,0,0.0014903129657228
2020-11-25,0,0,0.00148367952522255,0.00148367952522255,0,0,0,0,0.00741839762611276,0,0.0029673590504451,0.00148367952522255,0.00148367952522255,0.00741839762611276,0,0.00148367952522255,-0.00148367952522255,0
2020-11-26,0.00386847195357834,0.00193423597678917,0.0145067698259188,0,0.000967117988394584,0,0,0.000967117988394584,0.0154738878143133,0.000967117988394584,0,0.000967117988394584,0.000967117988394584,0.0135396518375242,0,0.000967117988394584,0,0.00193423597678917
2020-11-27,0,0.00632911392405063,0.0126582278481013,-0.00632911392405063,0,0,0,0,0,0,0.00632911392405063,0,0,0.0189873417721519,0,0,0,0
2020-11-28,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
2020-11-29,0,0,0.0099009900990099,0.00247524752475248,0,0,0,0,0,0,0.00247524752475248,0,0,0.0148514851485149,0,0.00247524752475248,0,0.00495049504950495
2020-11-30,0,0.000777604976671851,0.00855365474339036,0.00077760497667185,0,0.000777604976671851,0,0.0015552099533437,0.00699844479004666,0,0.000777604976671851,0.0015552099533437,-0.000777604976671851,0.0163297045101089,0,0.0031104199066874,0.000777604976671851,0.00233281493001555
2020-12-01,0,0.00139664804469274,0.00418994413407821,-0.00418994413407821,0,0.00418994413407821,0,0,0.00558659217877095,0.00139664804469274,0,0,0,0.0153631284916201,0,0.00279329608938547,0.00418994413407821,0.00139664804469274
2020-12-02,0,0,0.00454201362604088,0.00757002271006813,0,0,0.00227100681302044,0.00227100681302044,0.00757002271006813,0.000757002271006813,0,-0.000757002271006813,0,0.0189250567751703,0,0.00227100681302044,0.000757002271006813,0.00151400454201363
2020-12-03,0,0,0,0.00136612021857923,0,0,0.00136612021857923,-0.00136612021857923,0.00819672131147541,0.00136612021857923,0,0.00136612021857923,0,0.0163934426229508,0,0.00136612021857923,0.00136612021857923,0.00683060109289618
2020-12-04,0,0,0.0175438596491228,-0.00175438596491228,0,0,0.00526315789473684,0,0.012280701754386,0,0,0.00350877192982456,0,0.00701754385964912,0,0.00350877192982456,0,0
2020-12-05,0,0.00429184549356223,0.0128755364806867,0,0,0,0,0,0,0.00429184549356223,0.00858369098712446,0,0,0,0,0,0,0
2020-12-07,0,0.00084530853761623,0.00929839391377853,0.00169061707523246,0,0.00084530853761623,0.00253592561284869,0,0.00422654268808115,0,-0.00084530853761623,0,-0.00084530853761623,0.00591715976331361,0.00084530853761623,0.00507185122569738,0,0.00422654268808115
