"date","rate_prop","tariff_prop","war_prop","pro_prop_d","ship_prop_d","car_prop_d","chip_prop_d","invest_prop_d","house_prop","unemp_prop","emp_prop_d","job_prop_d","retail_prop_d","gov_prop","inf_prop_d","stock_prop_d","house_prop_d","trade_prop_d"
2015-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,0,0,0.00825688073394495,0.000917431192660551,0,0,0,0,0.0018348623853211,0,0,0,0,0.000917431192660551,0,0,0,0
2015-06-02,0,0,0.0109546165884194,0.000782472613458529,0,0,0,0,0.00156494522691706,0,-0.00156494522691706,0,0.000782472613458529,0,0,0,0,0.000782472613458529
2015-06-03,0,0,0.00641025641025641,0,0,0,0,0,0.0016025641025641,0,-0.0016025641025641,0,0,0,0,0,0,0
2015-06-04,0,0,0.00423280423280423,0,0,0.00105820105820106,0,0,0.00105820105820106,0,0,0,0,0.00529100529100529,0,0,0,0
2015-06-05,0,0,0,0,0,0,0,0,0.00290697674418605,0,-0.00290697674418605,0.00290697674418605,0,0,0,0,0,0
2015-06-06,0,0,0.00772200772200772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-07,0,0,0,0,0,0,0,0.00552486187845304,0,0,0,0.00552486187845304,0,0,0,0,0,0
2015-06-08,0,0,0.00719424460431655,0,0,0,0,0,0,0,0,0,0,0.00239808153477218,0,0,0,0
2015-06-09,0,0,0.00254452926208651,0,0,0,0,0,0.00254452926208651,0,0,0,0,0,0,0,0,0
2015-06-10,0,0,0.000868809730668983,0,0,0,0.000868809730668983,0,0.000868809730668983,0.000868809730668983,0.00173761946133797,0.00434404865334492,0,0.000868809730668983,0,0,0,0
2015-06-11,0.00696055684454756,0,0.00348027842227378,-0.00116009280742459,0,0,0,0,0.00232018561484919,0.00116009280742459,0.00232018561484919,0,0,0.00116009280742459,0,0,0,0.00116009280742459
2015-06-12,0.00103950103950104,0,0.00103950103950104,0,0,0,0,0,0.00207900207900208,0,0,0,0,0.00103950103950104,0,0,0,0
